Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
 -0.230168,-9.709319,-0.095261,-0.001734,0.005206,0.000008
 -0.190415,-9.708481,-0.096582,-0.001734,0.005206,0.000008
 -0.190415,-9.708481,-0.096582,-0.001734,0.006952,0.001754
 -0.190347,-9.728392,-0.116643,-0.001734,0.006952,0.001754
 -0.190347,-9.728392,-0.116643,-0.006970,0.008697,-0.001737
 -0.230182,-9.709099,-0.155143,-0.006970,0.008697,-0.001737
 -0.230182,-9.709099,-0.155143,-0.003479,0.005206,-0.001737
 -0.210292,-9.708899,-0.095922,-0.003479,0.005206,-0.001737
 -0.210292,-9.708899,-0.095922,-0.005224,0.010442,0.000008
 -0.210365,-9.688916,-0.095822,-0.005224,0.010442,0.000008
 -0.210228,-9.728737,-0.135943,-0.005224,0.010442,0.000008
 -0.210228,-9.728737,-0.135943,-0.005224,0.006952,0.000008
 -0.210297,-9.708826,-0.115883,-0.005224,0.006952,0.000008
 -0.210297,-9.708826,-0.115883,-0.003479,0.005206,-0.005228
 -0.230173,-9.709246,-0.115222,-0.003479,0.005206,-0.005228
 -0.230173,-9.709246,-0.115222,0.000012,0.003461,-0.001737
 -0.190411,-9.708554,-0.076622,0.000012,0.003461,-0.001737
 -0.190411,-9.708554,-0.076622,0.000012,0.005206,0.000008
 -0.190420,-9.708407,-0.116543,0.000012,0.005206,0.000008
 -0.210141,-9.748940,-0.076161,0.000012,0.005206,0.000008
 -0.210141,-9.748940,-0.076161,-0.001734,0.008697,-0.001737
 -0.210297,-9.708826,-0.115883,-0.001734,0.008697,-0.001737
 -0.210297,-9.708826,-0.115883,-0.001734,0.008697,-0.001737
 -0.190488,-9.688498,-0.096483,-0.001734,0.008697,-0.001737
 -0.190488,-9.688498,-0.096483,-0.001734,-0.000030,0.000008
 -0.230173,-9.709246,-0.115222,-0.001734,-0.000030,0.000008
 -0.230173,-9.709246,-0.115222,0.001757,0.008697,0.000008
 -0.170612,-9.688079,-0.097143,0.001757,0.008697,0.000008
 -0.210224,-9.728810,-0.115982,0.001757,0.008697,0.000008
 -0.210224,-9.728810,-0.115982,0.000012,0.006952,-0.001737
 -0.210214,-9.728957,-0.076061,0.000012,0.006952,-0.001737
 -0.210214,-9.728957,-0.076061,0.000012,0.012188,0.000008
 -0.190347,-9.728392,-0.116643,0.000012,0.012188,0.000008
 -0.190347,-9.728392,-0.116643,0.000012,0.005206,-0.001737
 -0.210292,-9.708899,-0.095922,0.000012,0.005206,-0.001737
 -0.210292,-9.708899,-0.095922,-0.003479,-0.000030,-0.001737
 -0.190488,-9.688498,-0.096483,-0.003479,-0.000030,-0.001737
 -0.190493,-9.688424,-0.116443,-0.003479,-0.000030,-0.001737
 -0.190493,-9.688424,-0.116443,-0.001734,0.013933,0.000008
 -0.210219,-9.728884,-0.096022,-0.001734,0.013933,0.000008
 -0.210219,-9.728884,-0.096022,-0.001734,0.005206,-0.001737
 -0.190425,-9.708334,-0.136504,-0.001734,0.005206,-0.001737
 -0.190425,-9.708334,-0.136504,0.000012,0.005206,0.000008
 -0.190420,-9.708407,-0.116543,0.000012,0.005206,0.000008
 -0.190420,-9.708407,-0.116543,-0.005224,0.008697,-0.003482
